Abruzzo,133
Basilicata,73
Calabria,152
Campania,427
Emilia-Romagna,516
Friuli Venezia Giulia,175
Lazio,747
Liguria,209
Lombardia,983
Marche,127
Molise,34
Piemonte ,367
Puglia,366
Sardegna,175
Sicilia,538
Toscana,415
Umbria ,70
Valle d'Aosta,20
Veneto,825
Trentino Alto-Adige,106
Totale,6458

